,1A1,1A16,1A19,1A21,1A24,1A3,1A6,1A7,1B15,1B18,1B21,1B23,1B26,1B30,1B7,1B9,1C11,1C13,1C15,1C18,1C20,1C23,1C25,1D12,1D20,1D24,1D27,1D30,1D32,1D5,1D7,1D9,1E1,1E12,1E14,1E17,1E23,1E29,1E3,1E31,1E6,1EX3,1EX5,1F10,1F14,1F21,1F23,1F28,1F3,1F31,1F7,1G11,1G13,1G16,1G23,1G25,1G30,1G32,1G8,1H16,1H19,1H2,1H6,1H9,Status
10,-7890.657295981483,-13080.085207228969,-15157.675118367379,10975.245344593844,-24554.501505404798,-14966.987970709082,-10533.683662336089,-5281.099617785191,-19760.57286337452,-1903.5121087141083,-6579.597218489479,-446.1085516279055,-8846.436779942318,2024.418133462558,-831.2328400154597,259.9526437492772,1880.6683990757722,7012.627666510803,-9410.029488565293,8433.937540289018,-9186.967400727712,9874.403628671387,-12384.586492334989,-16738.51594737267,-15242.643711366873,-12924.804244148983,-24276.408269250885,-4391.601261353566,-1405.4192790638954,-11527.744325562971,-22431.255428627454,-19202.23014505089,-7452.564355466624,-8968.311554748507,-13474.865727774244,-12683.148440667892,-3043.0725030942244,-7958.219671143272,-20751.196032953023,-4978.381427131974,-16700.234768106624,-16307.766743288441,-7201.189819943296,-4210.72659556428,-7241.658495167402,-585.6707937521198,-9161.623697556475,5843.098577505267,-2208.7302947479643,-4277.695221823167,-3169.7597690081443,-14218.270604149733,-21372.69488458007,-20987.226846827674,-17658.420497621326,237.20268578545543,-15655.205449056948,-16285.360534689456,-23361.94120895512,-6761.565632257795,-13473.67822996844,-5463.630530514151,-10250.559185478636,-23826.37785079347,30
11,-7883.344809493111,-13077.178962598975,-15155.706372005125,10971.307851869338,-24553.251507714478,-14961.956730005544,-10531.808665800609,-5279.193371307453,-19758.291617589686,-1904.5433568086223,-6577.159722993356,-444.9523037643596,-8845.46803173232,2027.7931272264216,-831.5453394380396,260.4213928831471,1884.4496420889898,7016.033910216924,-9402.4357525966,8422.875060729688,-9180.404912853532,9893.622343160056,-12378.461503652423,-16731.078461115267,-15235.924973781404,-12917.929256852223,-24269.6270317809,-4385.226273132935,-1401.5130362816458,-11524.744331106203,-22425.59918907876,-19197.23015428961,-7450.033110143726,-8964.49906179303,-13470.990734934252,-12675.460954872426,-3037.978762506171,-7956.0321751852125,-20748.539787861093,-4975.193933021659,-16695.172277460828,-16302.235503508775,-7193.533584090087,-4208.507849663962,-7239.408499324826,-581.7020510853541,-9157.404955351647,5811.53613582469,-2204.7615520811987,-4275.570225749623,-3165.7597763991207,-14212.926864023617,-21369.351140758463,-20980.383109473172,-17656.79550062391,236.3276874022315,-15649.455459681478,-16279.329295833662,-23359.534963401253,-6755.72189305555,-13466.709492844908,-5459.911787385449,-10245.99669390897,-23821.06536060961,30
12,-7877.094821041512,-13070.022725821895,-15148.14388597869,10966.651610472896,-24546.439020302234,-14955.269242362334,-10524.058680120626,-5273.193382393918,-19752.82287769454,-1900.7933637376627,-6571.347233733368,-438.98356479308217,-8840.34304120201,2033.949365851247,-827.4828469445,262.233889534111,1889.2308832544632,7022.877647571425,-9394.373267494037,8407.500089138754,-9173.561175499031,9877.872372262025,-12369.992769300505,-16727.42221787108,-15229.89373492561,-12911.304269093527,-24264.408291423813,-4379.0075346235935,-1395.7630469061742,-11520.681838612665,-22420.161699125867,-19192.011413932527,-7447.251865282764,-8960.842818548846,-13464.928246136202,-12670.492214053404,-3033.2912711674717,-7949.563437137806,-20745.19604403949,-4973.006437063599,-16689.172288547292,-16302.391753220065,-7189.033592404936,-4204.5703569394545,-7234.439758505805,-574.5458143082728,-9152.842463781979,5802.504902512129,-2199.1365624747596,-4270.570234988344,-3160.041036965907,-14209.801869797817,-21369.663640181043,-20979.3206114364,-17650.764261768116,240.5776795493191,-15649.986708699864,-16274.673054437222,-23355.159971485133,-6754.190645884908,-13462.709500235884,-5458.068040792227,-10242.4029505493,-23819.752863034773,30
13,-7885.407305682139,-13075.897714966397,-15148.425135459012,10964.432864572578,-24548.501516491262,-14959.237985029098,-10525.027428330624,-5275.880877428105,-19753.29162682841,-1900.8558636221787,-6572.472231654656,-439.38981404243617,-8840.96804004717,2032.7931179877012,-828.4828450967559,260.5776425944371,1886.8871375851136,7017.752657041114,-9395.904514664679,8407.437589254238,-9178.373666606762,9873.872379653001,-12374.492760985657,-16732.89095776623,-15232.362480363992,-12915.741760894163,-24268.18953443703,-4382.070028964877,-1398.48179188262,-11524.588081394913,-22423.349193236183,-19195.292657869613,-7450.001860201468,-8963.592813467549,-13466.615743018134,-12676.367203197908,-3038.010012448429,-7951.9384327494145,-20745.696043115615,-4976.381430827463,-16692.266032830834,-16313.39173289488,-7195.096081202987,-4206.757852897515,-7235.971005676447,-578.1083077256845,-9157.061205986809,5811.192386459852,-2202.605306065397,-4273.195230138016,-3162.1035331549347,-14212.645614543295,-21370.851137986847,-20983.039354565102,-17656.826750566168,234.3276910977197,-15653.361702463726,-16275.391803109156,-23356.90996825158,-6760.565634105539,-13469.865737012966,-5462.286782997057,-10247.277941541548,-23825.346602698955,30
14,-7890.501046270193,-13083.585200761865,-15153.643875816098,10966.339111050316,-24553.032758118672,-14963.925476367798,-10528.52742186352,-5279.599620556807,-19757.885368340332,-1905.887104325716,-6577.065973166582,-444.23355509242566,-8845.999280750706,2027.9493769377116,-831.5140894957816,257.1713988883155,1883.8558931860878,7013.658914605317,-9400.654505887895,8413.593827879064,-9183.498657137074,9908.403565848088,-12380.555249783707,-16738.20344795009,-15241.89371275268,-12920.49175211738,-24273.81452404347,-4388.351267358735,-1406.9505262345372,-11529.588072156193,-22428.53668365101,-19201.792645859277,-7456.564348075647,-8967.874055556895,-13471.053234818768,-12681.023444594348,-3044.5725003226084,-7957.78217195166,-20750.821033645927,-4982.256419971966,-16698.172271917596,-16308.235492422311,-7202.564817402648,-4212.28909267718,-7241.658495167402,-585.0770448492178,-9162.279946343893,5820.973618386605,-2207.8552963647408,-4280.570216510903,-3167.2910235697623,-14216.270607845221,-21371.069887582653,-20984.66435156252,-17661.670491616158,223.85896044129075,-15655.611698306302,-16275.985552012058,-23361.034960629637,-6764.596876656821,-13472.865731469732,-5466.9742743357565,-10251.809183168956,-23829.252845481205,30
15,-7885.407305682139,-13076.116464562203,-15155.706372005125,10967.52660885612,-24553.126507945446,-14963.300477522638,-10528.121172614166,-5279.380870961001,-19758.635366954524,-1907.887100630228,-6578.440970625934,-444.6398043417796,-8847.65552769038,2028.0431267644856,-831.1390901886857,254.89015310348168,1883.6058936480238,7017.783906983372,-9399.810757446929,8384.125132329771,-9183.436157252558,9867.997390508497,-12379.992750823063,-16736.922200317513,-15240.362465582039,-12920.116752810283,-24272.658276179925,-4387.757518455833,-1405.6692786019594,-11529.556822213935,-22427.28668596069,-19200.5113982267,-7458.001845419515,-8965.967809079157,-13472.459482220378,-12678.742198809514,-3042.3850043645484,-7955.1571768019885,-20750.16478485851,-4982.693919163578,-16699.266019896626,-16297.704261881365,-7198.533574851366,-4212.75784181105,-7243.158492395786,-584.7332954843799,-9160.811199057767,5825.848609378852,-2207.4490471153867,-4281.382715009611,-3166.7285246091183,-14212.364365062973,-21369.22614098943,-20981.164358029622,-17658.951746639712,226.67145524451047,-15653.986701308886,-16273.235557093354,-23358.1599659419,-6760.190634798444,-13469.271988110064,-5464.7867783776965,-10248.465439347352,-23826.69035021605,30
16,-7882.001061976018,-13071.522723050279,-15147.487637191272,10964.620364226126,-24547.501518339006,-14958.925485606518,-10524.027430178368,-5275.380878351977,-19754.385374807436,-1902.7308601576585,-6573.909728998524,-439.10856456211417,-8842.780536698134,2034.386865042859,-827.4828469445,257.9526474447654,1886.6683879893076,7023.221396936263,-9395.71701501113,8391.125119395563,-9181.092411583208,9848.591176366283,-12376.899006539523,-16732.672208170425,-15234.89372568689,-12915.085512106745,-24267.689535360903,-4382.226278676167,-1400.2942885335838,-11524.431831683623,-22424.599190926503,-19196.13640631058,-7455.970599172745,-8962.31156583497,-13469.771987186192,-12674.960955796298,-3039.447509792297,-7953.1259305552185,-20746.977290748193,-4981.193921935194,-16696.39102520889,-16300.798006164907,-7194.752331838149,-4208.945348855574,-7241.158496091274,-580.0458041456803,-9155.936208065521,5798.317410249558,-2203.292804795073,-4279.476468531873,-3161.8535336168707,-14209.551870259753,-21368.31989266395,-20979.50811108995,-17652.701758188112,236.85893642061745,-15652.236704542438,-16271.235560788842,-23355.316221196423,-6756.471891669742,-13468.053240362002,-5461.036785306737,-10243.871697835426,-23824.19035483541,30
17,-7875.063574794743,-13072.210221779955,-15143.987643658376,10969.120355911278,-24544.657773593528,-14955.01924282427,-10519.683688204506,-5272.724633260048,-19753.510376424216,-1901.2933628137907,-6571.659733155948,-437.98356664082627,-8841.405539238782,2037.1056100193048,-826.1078494851482,261.452640977661,1884.5121419735058,7025.721392316903,-9396.123264260485,8398.81260519103,-9182.46740904256,9887.77860395781,-12377.305255788877,-16730.984711288493,-15235.018725455922,-12914.304263550295,-24270.939529355735,-4383.070027117133,-1399.7317895729398,-11525.27558012459,-22425.13043994489,-19198.230152441865,-7457.908095592741,-8964.092812543677,-13469.49073770587,-12675.335955103394,-3039.697509330361,-7950.969684539416,-20753.60227850689,-4983.631417431318,-16698.10977203308,-16299.95425772394,-7187.596095061068,-4209.195348393638,-7241.439745571596,-577.4833088805246,-9154.904959971007,5807.567393157925,-2201.636557855399,-4278.820219744455,-3160.603535926551,-14209.020621241367,-21370.50738862201,-20981.101858145106,-17650.733011825858,239.6089313393212,-15650.361708006958,-16272.860557786258,-23354.566222582234,-6753.06564796362,-13463.86574809943,-5458.724289579645,-10241.527952166076,-23823.159106740895,30
18,-7877.469820348608,-13074.866466871883,-15148.050136151916,10972.339099963852,-24547.75151787707,-14957.581738089424,-10522.839932372564,-5276.537126215523,-19757.104119783882,-1904.1683575015263,-6575.034726919812,-442.9835574021058,-8844.499283522324,2034.168115447053,-831.3265898422337,258.7338960012153,1878.8871523670662,7018.815155077886,-9401.467004386603,8404.218845201663,-9187.186150323518,9895.622339464568,-12381.773997531769,-16734.17220539881,-15243.674959461387,-12920.585501944153,-24278.595765208946,-4389.757514760345,-1404.2005313158334,-11531.494318633931,-22429.442931976493,-19204.605140662497,-7462.658086815956,-8966.874057404639,-13473.146980950054,-12679.367197654674,-3043.6350020548684,-7952.8759310171545,-20777.414734507485,-4989.1626572109835,-16702.891013198554,-16299.766758070393,-7188.471093444292,-4211.382844351698,-7244.252240374816,-577.6083086495565,-9157.186205755841,5819.754870638543,-2203.9178036402327,-4282.320213277351,-3163.6035303833187,-14213.614362753291,-21364.132400401377,-20982.32060589317,-17651.451760497792,236.04643792190953,-15652.705453676308,-16275.516802878188,-23357.003718078355,-6752.628148772008,-13463.334499081044,-5461.005535364479,-10242.059201184462,-23824.565354142505,30
19,-7881.938562091502,-13080.866455785419,-15150.831381012878,10972.120350368046,-24547.90776758836,-14961.3942310449,-10525.308677810946,-5279.724620325839,-19757.572868917752,-1904.6996065199123,-6575.190976631102,-442.0148091921079,-8844.311783868776,2035.449363079631,-833.9828349341634,256.4839001586395,1878.9496522515822,7016.846408715632,-9401.96700346273,8418.093819564214,-9186.37365182481,9891.434847201996,-12382.430246319187,-16734.60970459042,-15246.081205015253,-12922.241748883827,-24280.65826139797,-4393.445007946788,-1408.200523924857,-11529.713071925225,-22429.599181687783,-19204.605140662497,-7462.251837566602,-8965.561559829803,-13470.646985569414,-12678.460949329192,-3043.3850025168044,-7951.500933557802,-20757.414771462365,-4988.4439085390495,-16703.26601250565,-16296.235514595239,-7190.846089055899,-4209.757847354282,-7241.564745340628,-576.3895609014947,-9154.998709797781,5819.504871100479,-2201.824057508947,-4281.351465067353,-3160.353536388487,-14213.864362291355,-21355.413666511395,-20979.601860916722,-17648.451766041024,235.89018821061956,-15655.299198883722,-16274.485554783674,-23356.253719464163,-6751.878150157817,-13465.11574578975,-5461.755533978671,-10241.965451357688,-23823.627855874765,30
