,1A1,1A16,1A19,1A21,1A24,1A3,1A6,1A7,1B15,1B18,1B21,1B23,1B26,1B30,1B7,1B9,1C11,1C13,1C15,1C18,1C20,1C23,1C25,1D12,1D20,1D24,1D27,1D30,1D32,1D5,1D7,1D9,1E1,1E12,1E14,1E17,1E23,1E29,1E3,1E31,1E6,1EX3,1EX5,1F10,1F14,1F21,1F23,1F28,1F3,1F31,1F7,1G11,1G13,1G16,1G23,1G25,1G30,1G32,1G8,1H16,1H19,1H2,1H6,1H9,Status
0,-18876.730746491594,-16806.85957109091,-3981.0082700257444,-5758.473735718352,-8187.469247547938,-16102.4546226534,-9622.435346092898,-3279.7283158140353,-2822.1979112147023,2197.074064437991,-3506.977895914189,-4417.569963369961,-4297.101435965384,-4360.913818056213,-2886.66654209295,634.5769515381444,-5685.4738706036715,-8701.030798615859,-6474.534912618094,-9702.966447291758,-10286.840368440171,-3571.9777758108225,-787.201671373942,-16649.984860955763,-1439.700465720918,-15714.986588596497,-12905.835529198379,-18730.949765858037,858.6702874702404,-10618.964754758163,-10146.434377874992,-5980.535825403678,-11149.995023548305,-8345.46895560437,-14209.333120663947,-18733.168511758355,-1818.5747656568728,-17963.419934059377,-15406.112159318454,-11661.15032906236,-535.7646359660987,-15227.831238736582,-12416.367683611372,-8715.249522343247,-6702.721990985987,-2226.8865111998607,-9610.841617515181,12947.335450669258,-5034.975072561207,-7690.126416511916,-3546.571572755071,-16163.548259767784,-16725.10972214399,-13376.772159026392,-15415.674641649402,-11296.776002334116,1341.513145298551,12178.149371930922,-9330.185886096111,-21384.132363446493,-22303.06816548515,3026.8225312723257,-18367.137938090436,-13690.709078950229,30
1,-18882.855735174162,-16812.609560466382,-3986.38326009412,-5766.004971802529,-8196.875480167595,-16107.892112606292,-9630.8415805603,-3288.3220499349845,-2816.0416725898767,2188.949079450912,-3515.7591296886862,-4425.601198530267,-4304.413922453755,-4367.66380558394,-2894.916526849061,626.9519656271932,-5687.223867370119,-8703.312044400693,-6478.253655746796,-9704.091445213046,-10289.809112954681,-3572.1652754643706,-789.6391668700658,-16658.01609611607,-1219.2008731484916,-15723.424073006156,-12916.054260316743,-18736.418505753187,853.7952964779929,-10628.245987608789,-10155.153111764972,-5991.1295558291395,-11156.901260787323,-8348.093950754042,-14211.708116275555,-18739.605999863503,-1822.3247587278324,-17965.88867949776,-15409.955902216188,-11667.619067109767,-541.4521254570541,-15232.737479671088,-12417.33643182137,-8721.874510101943,-6709.784477936295,-2233.542748900814,-9618.06035417678,12940.397963487982,-5039.506314188617,-7698.001401960932,-3551.6653133431246,-16166.142004975198,-16728.0784666585,-13381.897149556704,-15423.205877733579,-11303.182240497006,1355.9818685640037,12183.024362923168,-9336.529624374485,-21388.819854785193,-22308.41190561127,3021.572540972982,-18291.13807851899,-13696.771567748281,30
2,-18881.918236906422,-16813.14080948477,-3988.0395070337936,-5766.161221513819,-8198.156727800173,-16108.86086081629,-9633.02907651836,-3290.10329664369,-2812.572928999239,2186.01158487866,-3517.57162633965,-4426.757446393813,-4305.663920144075,-4369.913801426516,-2898.6040200355046,624.1394708239734,-5688.255115464633,-8702.280796306179,-6478.81615470744,-9702.372698388855,-10289.652863243391,-3571.1340273698565,-787.764170334586,-16659.141094037357,-1257.7320519526018,-15723.611572659704,-12915.02301222223,-18732.574762855453,855.9515424937947,-10629.870984606203,-10156.028110148196,-5989.692058485271,-11160.245004608927,-8349.156448790814,-14212.614364601037,-18738.26225234641,-1821.0122611529964,-17966.419928516145,-15406.393408798776,-11669.525313587505,-542.45212360931,-15232.956229266894,-12416.71143297621,-8723.687006752907,-6711.190725337904,-2233.261499420492,-9619.591601347422,12940.335463603466,-5039.162564823779,-7699.345149478026,-3551.3528139205446,-16165.923255379392,-16730.57846203914,-13383.303396958314,-15425.080874269059,-11303.807239342166,1389.1693072419964,12218.430547501479,-9336.373374663195,-21389.913602764223,-22308.130656130947,3019.853794148792,-18297.481816797364,-13699.45906278247,30
3,-18873.762001977084,-16804.172076056722,-3978.570774529621,-5756.411239529324,-8187.687997143744,-16098.454630044376,-9624.247842743862,-3280.2908147746793,-2813.291677671173,2194.386569403803,-3508.259143546767,-4417.163714120607,-4296.913936311836,-4361.695066612663,-2890.1977855681034,632.3894555800846,-5684.348872682383,-8699.74955098328,-6475.722410423898,-9698.435205664347,-10288.090366130491,-3568.946531411797,-785.5454244342682,-16652.016107202533,-1508.1690892081892,-15716.236586286816,-12906.554277870313,-18724.168528388054,863.139029213134,-10621.402250254287,-10148.371874294988,-5980.848324826258,-11156.588761364743,-8343.062710050504,-14205.458127823955,-18730.106017417074,-1814.1060239139792,-17958.794942605193,-15397.987174331376,-11665.806570458803,-537.5458826748045,-15228.706237119806,-12416.8676826875,-8718.218266857757,-6705.534485789207,-2224.074016396641,-9611.904115551954,12947.554200265064,-5031.6625786818595,-7692.1889127009445,-3544.5090765660434,-16156.579522644251,-16719.890981786903,-13373.865914396398,-15415.893391245208,-11297.18225158347,1409.7317692477584,12225.836783816625,-9326.373393140635,-21384.569862638105,-22300.849419584833,3026.2287823694237,-18378.01291799622,-13692.865324966031,30
4,-18872.543254229022,-16803.2970776735,-3977.320776839301,-5753.411245072556,-8185.156751820846,-16096.36088391309,-9618.935352560004,-3276.7595712995258,-2813.072928075367,2199.2928103383088,-3503.5716522080675,-4413.101221627068,-4292.913943702812,-4356.726325793642,-2886.166543016822,636.8581973229782,-5684.755121931737,-8700.905798846827,-6477.753656670668,-9701.622699774663,-10291.184110414033,-3572.1027755798546,-788.1391696416819,-16652.484856336403,-1535.1690393190986,-15716.767835305202,-12906.866777292893,-18724.07477856128,862.3265307144261,-10620.746001466869,-10146.46562781725,-5980.879574768516,-11157.182510267645,-8343.187709819536,-14204.145630249119,-18730.41851683965,-1813.1060257617232,-17957.857444337453,-15397.643424966538,-11666.556569072995,-538.2646313467385,-15227.362489602712,-12418.336429973626,-8716.624519802599,-6703.878238849533,-2222.011520207613,-9608.747871383895,12950.27294524151,-5029.1625833012195,-7690.84516518385,-3541.8840814163714,-16158.204519641668,-16721.422228957545,-13373.83466445414,-15414.424643959082,-11295.994753777666,1390.3255551055422,12207.64931742247,-9326.998391985795,-21382.00736737295,-22299.255672529674,3029.5412762487713,-18363.950443980124,-13692.021576525065,30
5,-18880.54323944707,-16812.17206127477,-3983.695765059932,-5759.161234448028,-8189.844243159545,-16103.423370863398,-9625.966589568052,-3283.353309115963,-2809.9166839073096,2192.1053236189696,-3510.1653900245046,-4420.5074579422135,-4299.851430884087,-4363.788812743949,-2892.6977809487435,629.5457108346069,-5690.817610729789,-8706.843287875847,-6485.316142697103,-9708.122687764326,-10298.652846613695,-3578.10276449339,-794.2641583242494,-16658.01609611607,-1271.1382771812825,-15722.58032456519,-12913.46051510933,-18730.57476655094,856.5452913966966,-10629.089736049755,-10153.528114767556,-5989.379559062691,-11165.494994908271,-8352.968941746289,-14212.520614774263,-18736.637255348993,-1820.5122620768686,-17966.732427938725,-15402.549665901042,-11674.619054175557,-547.1708648902676,-15236.14372337721,-12418.086430435562,-8722.374509178071,-6709.753227994037,-2230.5115045017883,-9614.716610355174,12941.585461293786,-5035.443821695077,-7698.845150401898,-3549.009068251195,-16168.079501395194,-16733.04720747752,-13383.67839626541,-15421.45588096713,-11303.775989399908,1406.9192744445386,12219.961794672121,-9337.435872699967,-21387.382357441325,-22307.661906997077,3022.85378860556,-18292.606825805116,-13697.802815842795,30
6,-18882.824485231904,-16814.515806944117,-3985.789511191218,-5761.754979655441,-8191.875489406315,-16108.954610643064,-9630.8415805603,-3287.7908009165985,-2810.4791828679536,2185.574085687048,-3514.5091319983662,-4427.038695874135,-4305.757669970849,-4368.695053678454,-2899.1977689384066,621.4832257320437,-5692.973856745591,-8710.655780831323,-6491.28488166838,-9710.497683375934,-10302.62158928046,-3581.4465083149958,-798.8891497784329,-16660.109842247355,-1163.200976622161,-15725.299069541636,-12917.554257545127,-18736.449755695445,852.701548498963,-10635.277224616837,-10157.215607954,-5995.004548669131,-11170.99498474568,-8356.437685336927,-14218.051854553927,-18743.355992934463,-1825.231003357826,-17971.857418469033,-15406.424658741034,-11678.962796149419,-551.4833569218712,-15236.706222337854,-12418.148930320078,-8725.812002826451,-6714.06572002564,-2235.230245782746,-9617.43535533162,12935.522972495735,-5038.975065170231,-7705.720137698657,-3554.54030803086,-16169.048249605192,-16735.203453493323,-13385.772142396696,-15424.924624557769,-11308.994729756992,1432.3567274425482,12241.83675425272,-9339.27961929319,-21390.6011014939,-22311.6618996061,3017.5100484794425,-18322.731770141825,-13700.302811223435,30
7,-18880.418239678038,-16811.54706242961,-3980.8520203144544,-5757.004988432226,-8192.250488713411,-16105.829616417264,-9626.1540892216,-3283.665808538543,-2813.260427728915,2190.1365772567156,-3509.8216406596666,-4422.2887046509195,-4300.695179325053,-4363.788812743949,-2896.197774481639,625.6394680523573,-5691.505109459465,-8708.03078568165,-6490.753632649994,-9710.40393354916,-10302.46533956917,-3579.3527621837097,-798.9203997206909,-16653.64110419995,-1423.0442464974055,-15717.674083630684,-12909.335522731273,-18729.26226897611,858.7327873547564,-10630.308483797815,-10151.90311777014,-5988.348310968177,-11166.244993522463,-8350.43769642339,-14212.70811442781,-18735.824756850285,-1821.5122602291244,-17964.95118123002,-15399.987170635888,-11673.712805850075,-547.4208644283316,-15233.95622741915,-12419.117678530076,-8720.999511718719,-6708.378230534685,-2229.4490064650163,-9611.404116475826,12941.272961871206,-5033.9750744089515,-7700.251397803508,-3551.9778127657046,-16165.235756649716,-16730.10971290527,-13381.147150942512,-15421.393381082615,-11304.775987552164,1422.0129965551512,12272.71169720362,-9334.779627608037,-21387.94485640197,-22309.97440272417,3020.260043398146,-18412.450354364533,-13695.552820000219,30
8,-18874.043251457406,-16807.453319993812,-3974.6645317473713,-5751.098749345465,-8187.656747201486,-16095.954634663736,-9618.247853830328,-3278.0408189321033,-2806.260440663124,2198.5740616663747,-3503.0716531319395,-4414.882468335774,-4293.163943240876,-4357.726323945897,-2889.041537704558,633.2332040210506,-5687.130117543345,-8704.59329203327,-6485.097393101297,-9708.52893701368,-10298.777846382727,-3575.102770036622,-793.3579099987674,-16646.32861771158,-1565.2627337135496,-15709.48659875909,-12898.77304224807,-18720.574785028384,867.2640215911896,-10621.870999388157,-10145.340629895962,-5980.379575692388,-11157.120010383129,-8343.781458722438,-14204.89562886331,-18725.262276367084,-1811.7622782446294,-17955.669948379393,-15391.83093570655,-11665.900320285577,-539.8583784018963,-15225.893742316586,-12416.836432745242,-8713.780775057121,-6702.815740812761,-2223.105268186643,-9605.060378197453,12946.67920188184,-5028.756334051865,-7692.5326620657825,-3546.040323736685,-16159.235767736182,-16724.17222387625,-13376.147160181232,-15415.737141533918,-11299.244747772498,1392.513051063602,12264.461712447508,-9328.810888636759,-21380.13237083747,-22302.974415658377,3026.2600323116817,-18416.26284732001,-13688.271583454105,30
9,-18877.980744181914,-16809.953315374452,-3976.977027474463,-5758.067486468998,-8188.125496335356,-16097.92338102599,-9623.122844822574,-3283.134559520157,-2805.135442741836,2195.136568017995,-3509.6966408906346,-4420.5387078844715,-4298.288933771188,-4362.351315400081,-2893.760278985515,629.3269612388009,-5690.130112000113,-8705.37454058972,-6483.222396565817,-9711.060182336578,-10296.496600597893,-3576.196518015652,-789.4829171587758,-16646.79736684545,-1355.8256207004542,-15711.080345814247,-12902.116786069677,-18725.449776020632,864.0452775386159,-10624.402244711055,-10146.653127470798,-5984.004568994315,-11156.901260787323,-8348.781449483718,-14210.52061846975,-18730.57476655094,-1815.231021835267,-17960.919938678737,-15394.112181491384,-11668.65031520428,-540.9521263809262,-15230.456233886254,-12414.086437826538,-8717.999517261951,-6707.815731574041,-2229.1052571001783,-9611.091617053245,12941.491711467012,-5033.9125745244355,-7695.720156176098,-3548.665318886357,-16165.64200589907,-16730.015963078495,-13384.240895226054,-15420.424632872617,-11305.244736686034,1380.9818223704012,12243.930500384005,-9334.623377896747,-21382.75736598714,-22305.036911847405,3023.8850367000737,-18333.26300068277,-13688.896582299265,30
