,1A1,1A16,1A19,1A21,1A24,1A3,1A6,1A7,1B15,1B18,1B21,1B23,1B26,1B30,1B7,1B9,1C11,1C13,1C15,1C18,1C20,1C23,1C25,1D12,1D20,1D24,1D27,1D30,1D32,1D5,1D7,1D9,1E1,1E12,1E14,1E17,1E23,1E29,1E3,1E31,1E6,1EX3,1EX5,1F10,1F14,1F21,1F23,1F28,1F3,1F31,1F7,1G11,1G13,1G16,1G23,1G25,1G30,1G32,1G8,1H16,1H19,1H2,1H6,1H9,Status
0,527.6708990735369,-5991.6920547897835,-9671.716505033759,496.045957508444,-23408.191123496956,-3744.6337067862555,12281.867930285212,1101.4198389303606,-18796.41839488854,3204.8534523161343,1091.1386079274796,-11253.526082249049,-5400.255647614933,1033.0449652698633,-2818.6979176818068,-1031.8574693118,27257.871508411856,-3535.602843022514,-6480.878650896467,-7376.220746530337,-113.98416530991409,9075.748854383759,-13693.240324273127,-7669.345204910348,-9453.904407495522,4635.257059291428,-10013.122124202377,-9361.060829047012,947.0451241758558,-10465.996287405267,-8330.875232569886,-2669.7919428224513,20043.197339308106,-11246.432345356483,-10064.122029967428,-10115.809434462155,-13504.521922977083,-8511.062399629496,-11841.64999554455,2668.323193688585,6802.784304248353,-5529.755408332073,-5188.881038181842,-2095.6992536007897,-4464.163627276635,-7366.908263737454,17779.639021792354,-10556.558620068943,-3051.0412383700136,-5733.473781911955,-1254.6383076690602,-836.3890804880292,-3984.383263789608,-802.9203923297144,-8240.875398866854,-10933.339173873612,-10716.870823852467,-10675.714649898686,-6201.379167340942,-9125.905013555586,-5313.318308253186,3528.9466034738202,-14896.613100744073,420.92109632021936,30
1,535.6396343493261,-5997.848293414609,-9681.403987133739,489.1084703271687,-23417.253606751776,-3754.6649382510727,12271.805448878138,1091.5136072345756,-18804.88712924046,3195.478469638735,1082.3886240952404,-11263.619813598381,-5412.224375499746,1023.1699835163363,-2827.8541507633995,-1036.0762115166297,27246.77777891027,-3549.290317731517,-6501.409862959971,-7390.345720430952,-131.57788280116637,9061.748880252177,-13709.27154465148,-7679.157686779359,-9469.091879432908,4624.569579039193,-10031.122090942983,-9392.654520669847,950.8263671890734,-10477.433766271695,-8339.53146657535,-2682.573169205972,20021.072380189442,-11260.182319950001,-10085.684490125444,-10140.68438849952,-13535.990614830886,-8529.531115503973,-11860.274961130317,2647.073232953147,6785.1905867571,-5550.474120049124,-5204.8810086179365,-2110.605476057854,-4479.351099214022,-7376.251996472595,17768.732791944316,-10565.683603208277,-3058.947473761287,-5752.317497093527,-1267.044534745485,-821.3578582619326,-3968.6957927760936,-806.6391354584161,-8247.906635874904,-10945.901650661326,-10729.808299947277,-10689.089625185108,-6213.847894301884,-9137.154992768465,-5325.068286542192,3519.415371085131,-14905.831833710183,411.6398634695943,30
2,572.0458170798926,-5979.910826558518,-9661.810273337975,514.5146733829203,-23396.191145669884,-3732.8524785549907,12293.77415828551,1113.7635661222694,-18786.074664001146,3214.884683780951,1100.0448414710088,-11245.994846164871,-5395.63065616075,1040.6699511808145,-2805.947941240544,-1012.2637555160359,27258.027758123146,-3538.509087652508,-6494.347376009664,-7377.376994393883,-123.17164833376519,9077.405101323433,-13701.271559433431,-7660.657720962625,-9460.748144850022,4640.788299071093,-10024.028354050417,-9398.435759987577,964.4513420135601,-10462.621293641405,-8322.500248044742,-2669.6669430534193,20026.759869680398,-11242.526102574233,-10055.559545788736,-10133.434401895665,-13508.240666105785,-8492.28118433244,-11854.149972447749,2654.760718748614,6792.440573360956,-5504.349205276321,-5177.818558622511,-2097.0742510601413,-4467.132371791145,-7360.564525459081,17786.045259955245,-10548.964884100249,-3041.385006212293,-5743.348763665482,-1251.6383132122924,-820.8578591858047,-3963.195802938686,-801.0766457364927,-8231.219166709134,-10927.370434902334,-10715.40207656634,-10675.089651053526,-6196.347926637405,-9112.217538846582,-5299.943332966763,3540.571581993795,-14883.144375630876,433.79607253051415,30
3,601.9520118207956,-5972.223340763051,-9651.529042335094,519.9521633358116,-23385.253665879587,-3719.665002922116,12307.617882705803,1127.576040600304,-18774.10593611633,3227.07216126157,1114.1698153716234,-11232.401121282643,-5383.536928506905,1052.7636788346595,-2791.947967108961,-1000.4825272847711,27266.840241839902,-3531.6966002402646,-6486.597390329681,-7369.15825958003,-113.8904154831401,9084.092588966645,-13692.990324735063,-7655.43898060554,-9451.966911075526,4645.913289601404,-10011.684626858509,-9370.342061897638,965.013840974204,-10454.87130796142,-8314.156513461858,-2661.85445748892,20032.072359864258,-11235.08861631683,-10049.528306932943,-10118.153180131503,-13513.77190588545,-8485.781196342776,-11847.649984458087,2660.4482082395693,6798.753061697072,-5488.59923437829,-5171.506070286396,-2087.2930191333885,-4457.819888998261,-7351.502042204262,17796.45149072716,-10542.121146745749,-3030.1037770571556,-5735.255028620661,-1239.0133365400616,-824.3266027764423,-3974.5707819205973,-797.420402492307,-8233.187913071388,-10919.214199972997,-10703.495848566045,-10663.652172187098,-6176.754212841641,-9102.030057670476,-5287.599605774854,3552.321560282802,-14873.11314416606,443.04605543888124,30
4,601.9832617630536,-5986.035815241085,-9672.185254167629,488.6397211932987,-23405.378628693736,-3742.289961116906,12286.43042185488,1107.326078017122,-18796.32464506177,3209.228444232254,1098.201094877787,-11248.901090794865,-5401.724394901059,1034.482462613731,-2810.3854330411796,-1022.7324861724649,27240.52779045867,-3550.9465646711906,-6504.472357301254,-7390.283220546436,-133.14037991406622,9062.061379674757,-13714.334035297275,-7674.501445382918,-9472.935622330642,4630.163318703374,-10027.497097641055,-9381.310791630194,959.2326016564746,-10474.683771352991,-8333.15647835472,-2679.885674171784,20006.384907328185,-11268.744804128693,-10089.153233716082,-10132.028154494055,-13530.053125801867,-8532.093610769127,-11867.524947734173,2636.667002181234,6772.003111124226,-5524.067918841117,-5194.724777384087,-2106.0429844881864,-4477.944851812412,-7371.002006173252,17779.045272889452,-10562.2461095599,-3048.697492700664,-5757.348737797064,-1257.107053107442,-820.9203590703207,-3997.383239768935,-805.6391373061603,-8250.094131832964,-10939.182913075858,-10725.558307800191,-10685.027132691568,-6189.09794003355,-9124.373766384944,-5308.849566510292,3532.22784741091,-14894.269355074723,422.29609377957127,30
5,597.889519327256,-6012.160766968771,-9695.43521120758,474.38974752365215,-23430.816081691744,-3766.1024171174995,12265.68046019557,1088.0761135861958,-18817.23085643237,3193.540973218739,1082.9823729981424,-11265.651059845151,-5417.349366030057,1016.232496335061,-2828.1041503014635,-1041.388701700489,27206.49660333971,-3569.759029910505,-6520.441077795092,-7412.251929953808,-153.4840923240222,9045.686409931566,-13737.458992568192,-7683.282679157415,-9492.998085260275,4624.944578346289,-10042.059570733281,-9408.154492029813,960.0763500974405,-10490.558742020054,-8341.843962302442,-2692.698150497563,19984.44744786307,-11302.432241882814,-10123.309420604073,-10157.090608184968,-13506.053170147725,-8560.187308859067,-11888.46240904703,2615.698290926118,6744.9406611288005,-5551.1616187788,-5206.8810049224485,-2124.699200016211,-4495.75731889947,-7389.251972451922,17760.201557707882,-10580.121076531472,-3067.884957247074,-5777.504950553473,-1274.8257703677261,-867.6077728037681,-4038.8206632030387,-841.9828201522106,-8269.375346206147,-10962.557869884839,-10755.558252367868,-10716.089575296017,-6217.972886679939,-9143.623730815869,-5331.005775571212,3515.1653789380434,-14911.769322739201,409.0461182621806,30
6,633.2332040210506,-5996.567045782031,-9680.810238230837,501.45219751907746,-23415.659859696618,-3755.3211870384907,12281.4304310936,1104.8260826364822,-18802.324633975302,3211.1346907099914,1101.6698384684246,-11250.213588369701,-5400.943146344609,1031.6387178682535,-2813.822926689559,-1027.8574767027765,27215.184087287435,-3553.9153091857006,-6502.941110130613,-7396.970708189647,-138.3591202711517,9060.498882561857,-13725.1777652608,-7668.438956584867,-9480.248108819012,4633.882061832076,-10029.684593599115,-9396.217014087259,964.6388416671081,-10476.27751840815,-8327.750238344086,-2678.6044265392065,20000.259918645617,-11284.963524160594,-10103.434457327987,-10145.6843792608,-13458.022008897184,-8533.656107882027,-11872.806187975773,2632.760759398984,6758.346886357481,-5535.817897130124,-5197.474772302791,-2108.4492300420525,-4482.226093901757,-7372.502003401635,17776.76402710462,-10563.402357423443,-3050.8849886587236,-5759.817483235446,-1259.2945490655018,-817.545365306457,-3989.1645049550816,-818.014114440327,-8243.719143612332,-10942.464157012948,-10741.96452748564,-10703.08959931669,-6207.4729060812515,-9133.7799990046,-5322.224541796715,3529.7278520302702,-14897.675598780845,421.6085950498953,30
7,671.9518824787087,-5975.004585624013,-9657.060282114759,525.7021527112831,-23389.628657795703,-3731.9774801717667,12302.899141424845,1125.8260438338561,-18780.324674625674,3231.9784021960754,1125.5135444112761,-11230.08862555555,-5380.7869335882015,1051.3261814907914,-2793.104214972507,-1009.8575099621702,27225.65281794386,-3533.1965974686486,-6481.909898990981,-7377.595743989689,-118.45290705280766,9075.248855307631,-13707.115298635677,-7660.220221771014,-9454.623156167456,4656.75701956493,-10000.653397241436,-9348.373352490265,999.2012778044526,-10456.496304958837,-8321.687749546034,-2659.166962454732,20024.103624588468,-11261.77606700516,-10068.153272518708,-10104.746954902823,-13445.30328239818,-8502.56241533532,-11845.649988153575,2656.5732153995777,6779.971846400015,-5517.192931544358,-5185.412294591204,-2086.4180207501645,-4461.819881607285,-7352.095791107164,17798.513986916187,-10544.152392992519,-3028.885029309094,-5735.161278793887,-1239.5133356161896,-811.9828755845335,-3972.2270362512472,-790.2954156574837,-8216.125444598521,-10918.464201358805,-10716.995823621499,-10677.433396722876,-6157.535498352972,-9116.717530531734,-5301.912079329017,3546.4465711382986,-14878.331884523144,435.171069989866,30
8,677.2331227203102,-5986.442064490439,-9666.029015542805,505.98343914648706,-23397.50364324472,-3739.7274658517504,12292.149161288095,1115.7948123690392,-18786.668412904048,3222.353419980612,1119.1073062483867,-11238.401110196179,-5390.286916034632,1041.6699493330705,-2801.7604489779724,-1019.8262415424712,27208.152850279384,-3539.540335747022,-6488.566136691934,-7385.283229785156,-127.60914013440076,9061.811380136693,-13717.459029523076,-7663.188966285523,-9462.779391096792,4650.19453169075,-10014.059622470117,-9363.623324312168,1012.2012537837793,-10463.183792602049,-8325.03149336764,-2667.0419479037473,20015.447390583005,-11280.057283226088,-10086.434488739636,-10117.74693088215,-13478.240721538108,-8520.999881267539,-11854.774971292909,2644.541987630249,6771.221862567776,-5505.005454063739,-5185.881043725074,-2095.0742547556297,-4468.601119077271,-7361.752023264885,17788.79525487395,-10555.308622378623,-3037.978762506171,-5742.848764589354,-1247.8258202568168,-838.139077254477,-3985.977010844766,-805.8891368442241,-8247.03163749168,-10928.182933401042,-10726.339556356641,-10686.277130381888,-6164.75423501457,-9123.092518752366,-5308.25581760739,3538.1028365554134,-14885.863120607322,428.9523314805246,30
9,656.8269104258383,-6039.316966790971,-9700.74770139144,474.48349735042615,-23438.69106714076,-3772.039906146519,12264.399212562992,1088.8886120849038,-18808.355872831096,3202.7909561271063,1098.7010939539148,-11260.119820065485,-5409.943129714912,1020.7324880202125,-2824.604156768568,-1039.6699548762992,27206.0591041481,-3559.8527982147198,-6508.816099275116,-7405.908191675434,-147.92160260209877,9041.217668188674,-13735.583996032712,-7676.563941571946,-9473.87312059838,4642.225796414961,-10018.18461484817,-9358.467083839598,1020.5762383089225,-10475.683769505247,-8338.812717903416,-2680.448173132428,20001.978665469807,-11301.55724349959,-10119.871926955693,-10127.621912635677,-13481.834464897778,-8549.124829299735,-11864.431203450631,2626.010771871257,6761.721880121345,-5537.349144300766,-5205.2872578672905,-2112.355472824302,-4484.851089051429,-7385.626979149994,17761.264055744654,-10579.589827513086,-3061.416219199669,-5758.286236064804,-1268.0132829554827,-885.7014893711483,-4029.4456805256395,-853.9827979792815,-8279.094078248385,-10952.151639112926,-10763.276988105592,-10722.870812766003,-6225.91037201347,-9148.967470941987,-5336.4120155818455,3517.9778737412635,-14909.644326665657,409.20236797347053,30
