Electrode,sph_theta,sph_phi
A1 (Cz),-90,90
A2,-180,81
A3,-180,72
A4,-180,62
A5,-180,53
A6 (Pz),-180,44
A7,165,44
A8,165,35
A9,168,26
A10,168,16
A11,169,7
A12,169,-2
A13,169,-11
A14,168,-20
A15,168,-30
A16,-180,-30
A17,-180,-20
A18,-180,-11
A19 (Oz),-180,-2
A20,-180,7
A21,-180,16
A22,-180,26
A23,-180,35
A24,-165,44
A25,-165,35
A26,-168,26
A27,-168,16
A28,-169,7
A29,-169,-2
A30,-169,-11
A31,-168,-20
A32,-168,-30
B1,-144,72
B2,-156,62
B3,-144,53
B4,-150,44
B5,-150,35
B6,-156,26
B7,-156,16
B8,-158,7
B9,-158,-2
B10,-158,-11
B11,-156,-20
B12,-156,-30
B13,-144,-20
B14,-146,-11
B15,-146,-2
B16,-146,7
B17,-144,16
B18,-144,26
B19,-135,35
B20,-135,44
B21,-132,62
B22,-126,53
B23,-120,44
B24,-120,35
B25,-132,26
B26,-132,16
B27,-135,7
B28,-135,-2
B29,-135,-11
B30,-132,-20
B31,-120,-20
B32,-124,-11
C1,-108,81
C2,-108,72
C3,-108,62
C4,-108,53
C5,-105,44
C6,-105,35
C7,-108,26
C8,-120,26
C9,-120,16
C10,-124,7
C11,-124,-2
C12,-113,-11
C13,-113,-2
C14,-113,7
C15,-108,16
C16,-101,7
C17,-101,-2
C18 (T8),-90,-2
C19,-90,7
C20,-96,16
C21,-96,26
C22,-90,35
C23 (C4),-90,44
C24,-90,53
C25,-84,62
C26,-72,53
C27,-75,44
C28,-75,35
C29,-84,26
C30,-84,16
C31,-79,7
C32,-79,-2
D1,-36,81
D2,-72,72
D3,-60,62
D4,-54,53
D5,-60,44
D6,-72,26
D7,-72,16
D8,-68,7
D9,-68,-2
D10,-68,-11
D11,-56,-11
D12,-56,-2
D13,-56,7
D14,-60,16
D15,-60,26
D16,-60,35
D17,-45,44
D18,-45,35
D19,-48,26
D20,-48,16
D21,-45,7
D22,-45,-2
D23,-45,-11
D24,-34,-2
D25,-34,7
D26,-36,16
D27,-36,26
D28,-30,35
D29,-24,26
D30,-24,16
D31,-23,7
D32,-23,-2
E1,0,72
E2,-36,72
E3,-36,62
E4,-36,53
E5,-30,44
E6,-15,44
E7,-15,35
E8,-12,26
E9,-12,16
E10,-11,7
E11,-11,-2
E12 (Fpz),0,-2
E13,0,7
E14,0,16
E15,0,26
E16,0,35
E17 (Fz),0,44
E18,0,53
E19,-18,53
E20,-12,62
E21,12,62
E22,18,53
E23,15,44
E24,15,35
E25,12,26
E26,12,16
E27,11,7
E28,11,-2
E29,23,-2
E30,23,7
E31,24,16
E32,24,26
F1,36,81
F2,36,72
F3,36,62
F4,36,53
F5,30,44
F6,30,35
F7,36,26
F8,36,16
F9,34,7
F10,34,-2
F11,45,-11
F12,45,-2
F13,45,7
F14,48,16
F15,48,26
F16,45,35
F17,45,44
F18,54,53
F19,60,62
F20,72,72
F21,84,62
F22,72,53
F23,60,44
F24,60,35
F25,60,26
F26,60,16
F27,56,7
F28,56,-2
F29,56,-11
F30,68,-11
F31,68,-2
F32,68,7
G1,108,81
G2,108,72
G3,108,62
G4,90,53
G5,75,44
G6,75,35
G7,72,26
G8,72,16
G9,79,7
G10,79,-2
G11 (T7),90,-2
G12,90,7
G13,84,16
G14,84,26
G15,90,35
G16 (C3),90,44
G17,105,35
G18,96,26
G19,96,16
G20,101,7
G21,101,-2
G22,113,-11
G23,113,-2
G24,113,7
G25,108,16
G26,108,26
G27,120,26
G28,120,16
G29,124,7
G30,124,-2
G31,124,-11
G32,120,-20
H1,144,72
H2,132,62
H3,126,53
H4,108,53
H5,105,44
H6,120,44
H7,120,35
H8,132,26
H9,132,16
H10,135,7
H11,135,-2
H12,135,-11
H13,132,-20
H14,144,-20
H15,146,-11
H16,146,-2
H17,146,7
H18,144,16
H19,144,26
H20,135,35
H21,135,44
H22,144,53
H23,156,62
H24,150,44
H25,150,35
H26,156,26
H27,156,16
H28,158,7
H29,158,-2
H30,158,-11
H31,156,-20
H32,156,-30
